,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
897,Vaccinated Staff- OYO 14822 Rose Residency,"Dwarka, New Delhi",5.0,Review score,3 reviews,16.8 km from centre,Metro access,"Ideally set in the Dwarka district of New Delhi, Vaccinated Staff- OYO 14822 Rose Residency is situated 19 km from Rashtrapati Bhavan, 19 km from Gandhi Smriti and 21 km from Gurudwara Bangla Sahib."
898,Aman Palace,"West Delhi, New Delhi",4.7,Review score,3 reviews,10.1 km from centre,Metro access,"Offering air-conditioned rooms in the West Delhi district of New Delhi, Aman Palace is 9 km from Rashtrapati Bhavan. This 3-star hotel offers a 24-hour front desk and room service."
899,Airport Hotel Green Lotus Delhi Aerocity Mahipalpur,"Mahipalpur, New Delhi",6.7,Review score,3 reviews,13.6 km from centre,No Metro Access,"Conveniently set in the Mahipalpur district of New Delhi, Airport Hotel Green Lotus Delhi Aerocity Mahipalpur is located 6 km from Qutub Minar, 10 km from Gandhi Smriti and 10 km from Lodhi Gardens."
900,HOTEL Ma INTERNATIONAL,"Paharganj, New Delhi",,Show prices,Opens in new window,1.3 km from centre,No Metro Access,HOTEL DELHI EMPIRE DX features air-conditioned rooms with satellite flat-screen TV in the Paharganj district of New Delhi. This 2-star hotel offers a 24-hour front desk and room service.
901,OYO 76964 Hotel Belmond Dwarka,"South West, New Delhi",,Show prices,Opens in new window,15.6 km from centre,No Metro Access,"In a prime location in the South West district of New Delhi, OYO 76964 Hotel Belmond Dwarka is located 13 km from Rashtrapati Bhavan, 13 km from Qutub Minar and 13 km from Gandhi Smriti."
902,Vaccinated Staff - OYO 49069 A Suites,"Mahipalpur, New Delhi",,Show prices,Opens in new window,14.1 km from centre,No Metro Access,"Conveniently situated in the Mahipalpur district of New Delhi, Vaccinated Staff - OYO 49069 A Suites is located 11 km from Qutub Minar, 13 km from Rashtrapati Bhavan and 14 km from Gandhi Smriti."
903,Collection O 81235 Hotel Aashiyana,New Delhi,,Show prices,Opens in new window,19.5 km from centre,No Metro Access,"Collection O 81235 Hotel Aashiyana is located in New Delhi, 18 km from Gurudwara Sis Ganj Sahib. Located around 18 km from Red Fort, the hotel is also 18 km away from Jama Masjid."
904,Classic Park,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.7 km from centre,No Metro Access,"Situated in New Delhi, 6 km from Qutub Minar, Classic Park features accommodation with a restaurant, free private parking, a shared lounge and a terrace."
905,OYO 24380 Park View Guest House,"East Delhi, New Delhi",5.5,Review score,4 reviews,9.1 km from centre,No Metro Access,"Featuring a shared lounge, OYO 24380 Park View Guest House is located in New Delhi in the Delhi NCR region, 9 km from Swaminarayan Akshardham and 9 km from Rāj Ghāt."
906,Vaccinated Staff- OYO 78855 Dream Sky Hotel,"East Delhi, New Delhi",,Show prices,Opens in new window,10.9 km from centre,No Metro Access,Vaccinated Staff- OYO 78855 Dream Sky Hotel features air-conditioned rooms with cable TV in the East Delhi district of New Delhi.
907,Amazing ! 4 BHK Service Apartment .,"South Delhi, New Delhi",6.8,Review score,4 reviews,7.9 km from centre,Metro access,"Featuring garden views, Amazing! 4 BHK Service Apartment. Provides accommodation with a balcony and a kettle, around 6 km from Lotus Temple."
908,Capital O 30363 Jannat Residency,"South West, New Delhi",7.0,Good,3 reviews,15.8 km from centre,No Metro Access,"Featuring a shared lounge, Capital O 30363 Jannat Residency is set in New Delhi in the Delhi NCR region, 17 km from Rashtrapati Bhavan and 18 km from Gandhi Smriti."
909,Vaccinated Staff- OYO 14337 Better Wish Residency,"South West, New Delhi",,Show prices,Opens in new window,15.8 km from centre,No Metro Access,"Conveniently situated in the South West district of New Delhi, OYO 14337 Better Wish Residency is located 18 km from Rashtrapati Bhavan, 18 km from Gandhi Smriti and 19 km from Gurudwara Bangla Sahib...."
910,OYO 47454 Sunroof Residency,"Malviya Nagar, New Delhi",2.9,Review score,4 reviews,11.9 km from centre,No Metro Access,OYO 47454 Sunroof Residency features air-conditioned rooms with cable TV in the Malviya Nagar district of New Delhi.
911,Hotel The Royal Tej Palace,"Mahipalpur, New Delhi",10,Exceptional,3 reviews,13.3 km from centre,No Metro Access,"Set within 6 km of Qutub Minar and 10 km of Gandhi Smriti, Hotel The Royal Tej Palace features rooms with air conditioning and a private bathroom in New Delhi."
912,Vaccinated Staff- Silverkey Executive Stays 42947 Bharat Heritage,"South West, New Delhi",,Show prices,Opens in new window,14.1 km from centre,No Metro Access,Vaccinated Staff- Silverkey Executive Stays 42947 Bharat Heritage features air-conditioned rooms with cable TV in the South West district of New Delhi.
913,OYO 73568 G-54 Stays,"South Delhi, New Delhi",,Show prices,Opens in new window,7.2 km from centre,No Metro Access,OYO 73568 G-54 Stays features air-conditioned rooms with cable TV in the South Delhi district of New Delhi. This 3-star hotel offers a 24-hour front desk and room service.
914,Vaccinated Staff - Capital O 81039 Hotel Kabir Palace,"Karol bagh, New Delhi",,Show prices,Opens in new window,2.7 km from centre,Metro access,"Featuring 3-star accommodation, Capital O 81039 Hotel Kabir Palace is set in New Delhi, 2.5 km from Gurudwara Bangla Sahib and 2.9 km from Jantar Mantar."
915,OYO 78805 Decent Cozy Inn,"Rohini, New Delhi",,Show prices,Opens in new window,18.1 km from centre,No Metro Access,"In a prime location in the Rohini district of New Delhi, OYO Home 48022 Decent Cosy Rohini is located 21 km from Gurudwara Bangla Sahib, 22 km from Rashtrapati Bhavan and 22 km from Red Fort."
916,Vaccinated Staff- OYO 19875 Hotel West Delhi Inn,"West Delhi, New Delhi",,Show prices,Opens in new window,7.4 km from centre,No Metro Access,"Conveniently located in the West Delhi district of New Delhi, Vaccinated Staff- OYO 19875 Hotel West Delhi Inn is set 9 km from Gurudwara Bangla Sahib, 10 km from Rashtrapati Bhavan and 10 km from Red..."
917,"Birdsong @ Asola Farms, Delhi",New Delhi,4.8,Review score,5 reviews,19.8 km from centre,No Metro Access,"Featuring pool views, Birdsong @ Asola Farms, Delhi provides accommodation with a terrace and a balcony, around 8 km from Qutub Minar."
918,Capital O 80318 Hotel Sai Plaza,"South West, New Delhi",,Show prices,Opens in new window,15.6 km from centre,No Metro Access,"Located in New Delhi, Capital O 80318 Hotel Sai Plaza provides free WiFi. The property is situated 12 km from Qutub Minar, 13 km from Rashtrapati Bhavan and 13 km from Gandhi Smriti."
919,Capital O DEL2875 Hotel Kiyaan International,"Janakpuri, New Delhi",,Show prices,Opens in new window,11.9 km from centre,No Metro Access,Capital O DEL2875 Hotel Kiyaan International features air-conditioned rooms with cable TV in the Janakpuri district of New Delhi. This 3-star hotel offers a 24-hour front desk and a shared kitchen.
920,Hotel Goodluck ( Unit of Goodluck Hospitality ),"Mahipalpur, New Delhi",4.6,Review score,5 reviews,13.1 km from centre,No Metro Access,"Located in New Delhi, 6 km from Qutub Minar, Hotel Goodluck ( Unit of Goodluck Hospitality ) provides accommodation with a restaurant, free private parking, a bar and a terrace."
921,OYO 46441 Five Star Residency,"South West, New Delhi",,Show prices,Opens in new window,17.3 km from centre,No Metro Access,"Attractively situated in the South West district of New Delhi, OYO 46441 1 Plus One Hotel Residency is situated 18 km from Gandhi Smriti, 20 km from Rashtrapati Bhavan and 20 km from Gurudwara Bangla..."
922,OYO 71404 Rose Stay,"East Delhi, New Delhi",,Show prices,Opens in new window,8.1 km from centre,Metro access,"Set within 5 km of Swaminarayan Akshardham and 5 km of Swaminarayan Akshardham, OYO 71404 Rose Stay provides rooms with air conditioning and a private bathroom in New Delhi."
923,OYO 79123 Smart Palace,"South Delhi, New Delhi",,Show prices,Opens in new window,15.2 km from centre,No Metro Access,"Featuring a bar, OYO 79123 Smart Palace is located in New Delhi in the Delhi NCR region, 3.4 km from Tughlaqabad Fort and 6 km from Lotus Temple."
924,OYO 78941 Townhouse,"Rohini, New Delhi",,Show prices,Opens in new window,14.6 km from centre,No Metro Access,"Located within 13 km of Gurudwara Sis Ganj Sahib and 14 km of Jama Masjid, OYO 78941 Townhouse Keyrooms provides rooms with air conditioning and a private bathroom in New Delhi."
925,OYO 79123 Smart Palace,"South Delhi, New Delhi",,Show prices,Opens in new window,15.2 km from centre,No Metro Access,"Featuring a bar, OYO 79123 Smart Palace is located in New Delhi in the Delhi NCR region, 3.4 km from Tughlaqabad Fort and 6 km from Lotus Temple."
926,OYO 78941 Townhouse,"Rohini, New Delhi",,Show prices,Opens in new window,14.6 km from centre,No Metro Access,"Located within 13 km of Gurudwara Sis Ganj Sahib and 14 km of Jama Masjid, OYO 78941 Townhouse Keyrooms provides rooms with air conditioning and a private bathroom in New Delhi."
927,Vaccinated Staff- SPOT ON 10045 Hotel Pearl Residency,"South West, New Delhi",,Show prices,Opens in new window,15.7 km from centre,No Metro Access,"Attractively located in the South West district of New Delhi, SPOT ON 10045 Hotel Pearl Residency is situated 18 km from Rashtrapati Bhavan, 18 km from Gandhi Smriti and 19 km from Gurudwara Bangla..."
928,OYO 79029 Jannat Residency,"West Delhi, New Delhi",,Show prices,Opens in new window,16.5 km from centre,No Metro Access,"Located in New Delhi, 15 km from Rashtrapati Bhavan, OYO 79029 Jannat Residency provides accommodation with a restaurant, free private parking and a bar."
929,Hotel gulshan dx,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.4 km from centre,No Metro Access,"Offering air-conditioned rooms in the Mahipalpur district of New Delhi, Hotel gulshan dx is 6 km from Qutub Minar. Boasting family rooms, this property also provides guests with a terrace."
930,Hotel Dev Palace - Near IGI Airport,"South West, New Delhi",8.2,Very good,4 reviews,17.9 km from centre,No Metro Access,"Set in New Delhi, 10 km from Qutub Minar, Hotel Dev Palace - Near IGI Airport provides air-conditioned rooms and a shared lounge."
931,Sky House,"South Delhi, New Delhi",,Show prices,Opens in new window,10.2 km from centre,Metro access,"Sky House is situated in the South Delhi district of New Delhi, 3.6 km from Qutub Minar, 6 km from Gandhi Smriti and 6 km from Lodhi Gardens."
932,Tivoli Lawrence Road,"North Delhi, New Delhi",,Show prices,Opens in new window,9 km from centre,Metro access,"Featuring 03-star accommodation with 15 well-appointed rooms, Tivoli Lawrence Road is situated in New Delhi, 11.9 km from Gurudwara Bangla Sahib and 10.9 km from Gurudwara Sis Ganj Sahib."
933,OYO 80203 Hotel Cozy Inn,"North Delhi, New Delhi",,Show prices,Opens in new window,9.8 km from centre,No Metro Access,"Located in New Delhi, 9 km from Gurudwara Sis Ganj Sahib, OYO 80203 Hotel Cozy Inn provides accommodation with free WiFi and free private parking."
934,Hotel Fly Rooms Inn,"Mahipalpur, New Delhi",8.2,Very good,6 reviews,13.6 km from centre,Metro access,Hotel Fly Rooms Inn features air-conditioned rooms with flat-screen TV in the Mahipalpur district of New Delhi. This 3-star hotel offers an ATM and valet parking.
935,Hotel Royal Castle Grand,"South Delhi, New Delhi",7.6,Good,3 reviews,11.3 km from centre,No Metro Access,"Offering a restaurant that serves Indian and International delights, Hotel Royal Castle Grand is located 3 km from the serene and beautiful Lotus Temple."
936,AAKASH RESIDENCY,"South Delhi, New Delhi",,Show prices,Opens in new window,14.7 km from centre,No Metro Access,"Situated in New Delhi, 2.6 km from Qutub Minar, AAKASH RESIDENCY features a terrace. The property is around 7 km from Tughlaqabad Fort, 8 km from Lotus Temple and 10 km from Lodhi Gardens."
937,OYO 14386 Orange inn,"South West, New Delhi",,Show prices,Opens in new window,15.6 km from centre,No Metro Access,"Ideally situated in the South West district of New Delhi, OYO 14386 Orange inn is situated 16 km from Gandhi Smriti, 18 km from Rashtrapati Bhavan and 19 km from Qutub Minar."
938,OYO 6124 Lord Krishna Dx Inn,"Paharganj, New Delhi",,Show prices,Opens in new window,1.1 km from centre,No Metro Access,"Ideally situated in the Paharganj district of New Delhi, OYO 6124 Lord Krishna Dx Inn is situated 1.6 km from Jantar Mantar, 1.7 km from Gurudwara Bangla Sahib and 2.2 km from Jama Masjid."
939,Hotel Kingston,New Delhi,,Show prices,Opens in new window,4.8 km from centre,Metro access,"Situated in New Delhi, within 3.8 km of Gurudwara Bangla Sahib and 4 km of Rashtrapati Bhavan, Hotel Kingston features accommodation with a shared lounge and free WiFi as well as free private parking..."
940,The Pearl- A Royal Residency,"Karol bagh, New Delhi",,Show prices,Opens in new window,4 km from centre,No Metro Access,"Located in New Delhi, 5 km from Jantar Mantar, The Pearl- A Royal Residency provides accommodation with a restaurant, free private parking, a shared lounge and a terrace."
941,OYO 65060 Wok N Stay,"Pashim Vihar, New Delhi",,Show prices,Opens in new window,13.7 km from centre,No Metro Access,OYO 65060 Wok N Stay features air-conditioned rooms with cable TV in the Pashim Vihar district of New Delhi. This 3-star hotel offers a 24-hour front desk and a shared kitchen.
942,FabHotel Amara,"Greater Kailash 1, New Delhi",,Show prices,Opens in new window,9.8 km from centre,No Metro Access,"Offering air-conditioned rooms in the Greater Kailash 1 district of New Delhi, FabHotel Amara is 2 km from Lotus Temple."
943,Hotel Karlo by Check In Room,"Paharganj, New Delhi",,Show prices,Opens in new window,1.3 km from centre,Metro access,"1.6 km from Gurudwara Bangla Sahib, Hotel Karlo by Check In Room is located in New Delhi and features free WiFi, a tour desk and a ticket service."
944,The Silver Ferns Saket,"Saket, New Delhi",,Show prices,Opens in new window,12.5 km from centre,No Metro Access,"Ideally set in the Saket district of New Delhi, The Silver Ferns is situated 2.1 km from Qutub Minar, 6 km from Lotus Temple and 6 km from Tughlaqabad Fort."
945,Prestige Apartments,"Chattarpur, New Delhi",6.1,Review score,13 reviews,16.2 km from centre,No Metro Access,"Situated in New Delhi, 6 km from Qutub Minar and 14 km from Lodhi Gardens, Prestige Apartments features accommodation with free WiFi and a shared lounge."
946,Vaccinated Staff- OYO 77732 Khanpur STAY,"South Delhi, New Delhi",,Show prices,Opens in new window,13.5 km from centre,No Metro Access,"Set within 3.4 km of Tughlaqabad Fort and 5 km of Qutub Minar, Vaccinated Staff- OYO 77732 Khanpur STAY offers rooms with air conditioning and a private bathroom in New Delhi."
947,OYO 70791 Imperial Inn,"South Delhi, New Delhi",,Show prices,Opens in new window,10.2 km from centre,Metro access,"Well located in the South Delhi district of New Delhi, OYO 70791 Bassils Leaf is located 1.9 km from Lotus Temple, 7 km from Tughlaqabad Fort and 8 km from Humayun's Tomb."
948,OYO 66543 Parthansh Residency,"Malviya Nagar, New Delhi",,Show prices,Opens in new window,11.8 km from centre,No Metro Access,"Well located in the Malviya Nagar district of New Delhi, OYO 66543 Parthansh Residency is located 3.9 km from Qutub Minar, 7 km from Lotus Temple and 9 km from Lodhi Gardens."
949,HOTEL PRIMELAND,"Janakpuri, New Delhi",6.7,Review score,3 reviews,12.9 km from centre,Metro access,"Situated in New Delhi, 11 km from Rashtrapati Bhavan, HOTEL PRIMELAND offers air-conditioned accommodation and a shared lounge. Boasting family rooms, this property also provides guests with a..."
950,MONA REGENCY HOTEL AND BANQUET,"East Delhi, New Delhi",,Show prices,Opens in new window,6.2 km from centre,No Metro Access,"Located within 2.1 km of Swaminarayan Akshardham and 2.1 km of Swaminarayan Akshardham, MONA REGENCY HOTEL AND BANQUET provides rooms with air conditioning and a private bathroom in New Delhi."
